portugues,tupi_antigo
Furei-o,Aîmokûar
"Conforme ela, curaste os doentes",Supibé eremombûeîrá mara'abora
Os ferros em mim estão presos,Itá xe resé seni
Eu sou muito formoso,Xe aysó-katu
dia muito quente,arakubeté
"borbotão d'água, água que brota para cima",y-bura
Minha coragem ainda existe,Oîkó bé xe taŷaíba
Escondo-me bem estando deitado aqui,Aîemĩngatu kó gûitupa
"Nem sequer uma pequena coisa, nem um só pequeno ato das pessoas omitir-se-á, então","Mba'emirĩ tiruã, abá rekoagûerĩ oîenosem a'epene"
"Eu sou Guaixará bebedor de cauim, grande cascavel, onça, trucidador de gente","Gûaîxará kagûara ixé, mboîtiningusu, îagûara, morapitîara"
buraco do chão,yby kûara
misérias da vida,tekó poreaûsuba
Perdoa tu nossas maldades a nós como nós perdoamos aos que nos tratam mal,Nde nhyrõ oré angaîpaba resé orébe oré rerekomemûãsara supé oré nhyrõ îabé
"Eu, Tatapitera, inflamo os antigos ódios","Xe, Tatapytera asapy nhemoŷrõmbûera"
"boquitorto, homem da boca torta",abaîuru-apẽ
Os índios atacarás,Apŷaba eresepenhãne
Como ele nos fez?,Marãpe asé monhangi?
fibras sujas,pó-ky'a
"Eis aqui meu arco, eis aqui as farpas","Kobé xe îurupara, kobé arupare'aka"
Como diz o último dos mandamentos da Santa Madre Igreja?,Marã e'ipe Santa Madre Igreja asé rekomonhangaba mondykaba?
"O homem desanima, sem mais, de suas danças também",Omanõaibí abá o poraseîtápe bé
Pode certamente (contá-lo) para quem o repreenderá,E'ikatu ipó senonhẽndarama supé é
Ele vos fortalece,A'e pe mopyatã
"A gente diz ""anjos"" para eles por irem eles por sua vontade para longe, como que voando, muito rapidamente","Korite'ĩ-aíbeté obebébo berameĩ kûepe o emimotarybo i xóreme ""karaibebé "" asé i 'éû i xupé"
"É bonita esta igreja, contendo muitos enfeites!","I porang kó tupãoka, îegûakabetá rerupa!"
Pôr o bispo em nossa testa o óleo santo,Asé sybápe abaregûasu nhandy-karaíba nonga
Renderam-se os oponentes,I aûîé mu'amarûera
a vaca que crio,xe reîmbaba tapi'ira
"Sim, esses me satisfazem","Îé, aîpó xe moytarõ"
A gente vê aquela coisa branca e sua redondeza também,"- Akó morotinga, i amandaba bé asé osepîak"
Meu fogo é o lugar em que queimarás,Xe ratá nde kaîaûama
Hei de obedecer bem a ele,Asapîakatupe ká
Matamos,Îaîuká
a satisfação dos cônjuges,mendara moîekosupaba
"Os que são maus, que o tomam, recebem a morte em si",I poxyba'e tasara te'õ ogûar o îoupé
Eu sou hábil em assim agir,Xe popy'i emonã gûitekóbo
Eu tenho mestre,Xe porombo'esar
"por dois meses [lit, duas luas]",mokõî îasy
Não fui de modo algum,N'asó-angáî
Ela fez seu marido comer o fruto de modo vil,A'e o mena supé 'ybá-'u-ukar-a'ubi
Já não quero viver neste mundo falso,N'aîkó-potari ymã ikó 'ara'uba pupé
Ali ficai enquanto eu não vos informar acerca de vossa futura volta,Ebapó ta peîkó pe îebyragûama resé ixé nde momorandube'yma pukuî
"Eis que ontem trucidei gente, matando europeus","Kûeîsé kó aporapiti, aîuruîuba îukábo"
"Seus antigos companheiros, então, em troca de cauim dei aos índios","Irũmbûera, akûeîmebé, kaûĩ repyrama ri aîme'eng abá supé"
"Ele, após crescer, entregou-se aos homens maus, fazendo-se matar na cruz, estirado","A'e o kakuab'iré, i nheme'engi apŷabaíba supé, oîeîuká-uká ybyraîoasaba resé i moatãmbyramo"
Rapei-lhe a barba,Asendybá-apin
cavidade dela,inhanhã
São muito temíveis teus chifres,Iîabaeté-katu nde 'aka
Grande é meu cansaço,Turusu xe kane'õ
Deve ter ido,Osó ipó re'ĩ
Vem espantar o diabo para que não nos vença!,Îori anhanga mondyîa oré moaûîé suí!
Filhos de quem eram esses?!,Abá ra'yrape ûĩ?!
Mas não é nossa pátria esta terra em que moramos?,N'asé retama ruã-tepe ikó yby asé rekoaba?
"Aproximando-me da morte, meus grandes pecados antigos farei sair","Te'õ rerobyka é, xe angaîpá-tubixagûera amosẽne"
Eu fico salivando,Xe rendy-rendy
Fizeste resguardo por causa do parto de tua mulher?,Ereîekuakupe nde remirekó membyrara resé?
Bateste com o pau na tua esposa!,Ereropûar ybyrá nde remirekó resé!
Saí há pouco dele,Asẽ amo'ĩ i xuí
A gente morrerá com sua crença também?,Serobîara bépe asé ogûeromanõne?
Tragamo-lo!,Îaru!
Peido,Apynõ
Eu sou liberal,Xe mosakar
A seus olhos eu hei de estar,Sesápe xe rekóû re'ĩ
Irei hoje ao mar,Asó kori paranãmene
Enterrando os antigos vícios,Tekopoxypûera tyma
"Fazemos passar as flechas dos malditos, diante deles esquivando-nos","Îamongûá moxy ru'uba, i xupé îaîemoîtỹamo"
não querendo espaçar longamente a falta de sua confissão,o nhemombe'ue'yma mopa'ũ-muku potare'yma
Quem foi o que o entregou?,Abápe i me'engarama?
Como criança está sentado nos braços de Maria,Pitangamo seni Maria îybápe
Não são poucos,Na mboby ruã
Eu tenho palavras afáveis,Xe nhe'engangaturam
"Como sois vós, por acaso?",-Marã-piang peẽ?
Eu estou desinchado,Xe rurunhyng
Vê minha doença para que te compadeças de minha alma,Esepîak xe mara'ara t'eresaûsubar xe 'anga
"Após acabar este desterro comum, faze a nós vê-lo",Ikó îope'asagûera syk'iré esepîakukar orébe
furna em penedos ou rochas,itá-kûarusu
Chego-me ao fogo,Arobyk tatá
cunha de fender lenha,îepe'a-kasaba
a que ingere veneno,mosangygûaba gûara
"Tentastes em vão, por pouco tempo, não dormir perto de mim",Pesa'ang îepé korite'ĩ nhõte xe pyri pekere'yma
Ergui a espinhela,Aîpusu'ã-mogûyr
Feri-o,Aîosok
Dentro dessa igreja Maria cresceu,Kó tupãoka pupé Maria kakuabi
Ele há de morrer!,T'omanõ ká!
Eu sou paciente,Xe putumuku
Minha família fez-me vir,Xe anama xe mbouri
Estou deitado de bruços,Oobapybo aîub
Preocupam-se todos os cristãos em saber isso?,-Onhemosaînan pabẽpe cristãos aîpoba'e kuabaûama resé?
"Fiquei carregado com ele (isto é, carreguei-o, levei-o às costas)",Ambosyî ahẽ resé
gosto de carne,so'o ré
O que fica escarnecendo das pessoas,Oporokurá-kuraba'e
Imediatamente eles se vingam de seu próximo,Aûnhenhẽ o apixarĩ resé îepyki
meu paizinho,xe rubĩ
Antigamente eu ficava sempre junto de ti,Akûeîme apytá memẽ nde pyri
rio dos sarapós,sarapó 'y
linha delgada para coser,inimbó'i
Ele é grande,Xe reburusu - Eu sou grande Seburusu
Fundei uma aldeia,Atabypyrung
"Vem, mãe de meu senhor, para fazê-lo estar contigo dentro de minh'alma","Eîori, xe îara sy, xe 'anga pupé serupa!"
"Ficamos bradando, como desterrados",Orosapuká-pukaî i pe'apyramo
"Jesus, o que eu desejo","Îesu, xe remimotara"
Ali também estando os que guardaram sua alma em sua virtude,A'epe bé ogûekokatu pupé o 'anga nongatusarûera oína
o que enforcou gente,moroîubykarûera
Amarrei-lhe os calcanhares,Aîpytá-pûar
topo da escada,mytamytá-ypy
"Ah, quem me dera esconder alguma coisa do fulano!",Anhomim temõ ahẽ mba'e amõ mã!
Leva-o depressa,Erasó esapy'a
Mas os aracajás deleitam-se com eles,Arakaîá-te ombory
Furo-lhe a pele,Aîpi-kutuk
Trouxeste teu fumo?,Ererupe nde petyma?
"o sem mãe, o órfão de mãe",sye'yma
"Viram os anjos a Deus, seu criador, quando ele começou a criá-los?",Osepîápe karaibebé Tupã o monhangara o monhang-ypyreme?
Escondeste alguma coisa que estava na igreja?,Erenhomimype erimba'e Tupãokygûara mba'e amõ?
"Portanto, deixai de crer nele futuramente",Emonãnamo peteumẽ irã serobîá
Fez Nosso Senhor algum (milagre) diante dele?,Oîmonhangype Îandé Îara amõ sobaké?
Por isso mesmo tua grande sujeira estraga as almas dos índios,Nd'e'i te'e nde ru'umusu abá 'anga momoxŷabo
"Logo, então, a cruz ergueram, fincando-a?",A'eîbépe ybŷá cruz mo'ami i atykábo?
"Acaso insistiram muito, então, os que o levaram, ficando a gritar?","Oîeîukaaíb-eté serã serasoaretá a'ereme, oposẽ-posema?"
Deitando às pressas o capim,Kapi'i anhẽ rerupa
Pode a gente trocar seu próprio nome?,E'ikatupe asé ogûera rekobîarõmo?
Dei uma cambalhota,Anheatĩapyr
"Derrama tuas lágrimas, pranteando a vergonha de tua alma","Eîmo'ẽ nde resa'y, nde 'anga i momara'aragûera rapirõmo"
"-Quem és tu? -Sarauaia, adversário antigo de franceses","-Abápe nde? -Saraûaîa, aîuruîubupîarûera"
Mas seria difícil para as pessoas comer minha carne,A'e iî abaíbymo abá supé xe ro'o 'u
"Vim, voltando",Aîur gûiîeby
"Ameacei, outrora, os tupinambás",Aîmomburu akûeîme tupinambá
Eu sou uma pessoa desprezível,Xe abangaíba
Tua pureza seja igual em mim,Nde poropotare'yma t'oîakatu xe resé
homem briguento,abá-marãmotara
Estão sempre cheias as igaçabas Não abrem mão do cauim,Tynysẽ memẽ ygasaba N'i apori kaûĩ resé
"Consola-te muito, enfim, após tua saída da escuridão, da aflição de tua alma",Nde apysy-katu ko'yté pytunusu nde 'anga moingotebẽsagûera suí nde sem'iré
Quase que fui,Asó só
diminuto como isto,nãîbe'ĩnhot'a'ub
"Ah, que bom seria a morte do fulano por aí!",Marãîasûaramo ahẽ kûepe se'õ mã!
Dando para ele alguma semelhante a si,I xupé o apixara amõ me'enga
"Vem, meu compadecedor, por tua bondade","Eîori xe poreaûsubara, nde angaturama ri"
Semelhante a que coisa era o suor dele?,Mba'e abyare'ymape syaîa?
"Não existem mais absolutamente suas antigas terras Todas, há tempos, não contêm muita coisa",N'i tyb-angáî setãmbûera Opá akûeîme n'i poretáî
Eu sou muito pecador,Xe angaîpab-eté
As moças habitantes das aldeias escondo-as em meu coração,Kunhãmuku taba pora xe py'a pupé anhomim
"Existe meu auxiliar verdadeiro, o grande chefe Aimbirê, o pervertedor dos índios","Oîkobé xe pytybõanameté, tubixá-katu Aîmbiré, apŷaba moangaîpapara"
Como Nosso Senhor a cura?,Marãpe Îandé îara i mombûerabi?
"Tornaste-te pajé, fazendo sucções?",Erenhemopaîépe eposubana?
Haveria de cair,A'arixûer
Os que têm a bem-aventurança são os que choram,Tekokatueté rerekoara oîase'oba'e
Eu fui mentiroso dizendo isso,Xe remo'em aîpó gûi'îabo
Sua mãe nem sequer sangrou,I xy na sugûyî tiruã
Vou para resgatar os índios,Asó apŷaba porepŷana
"Os que estão em Maratauá acreditam em minhas palavras, entregando suas almas em minhas mãos","Marataûãme tekoara ogûerobîá xe nhe'enga, xe pópe o 'anga me'enga"
Meteu-te pelo pescoço,Nde mondeb o aîurybo
"outro dia, já não agora",karamosé é
Nós temos muitas igrejas,Oré tupãoketá
Fico-me espreguiçando,Aîepoká-poká
Queimei carvão,Asapy tatapynha
Ele passou defronte de Nhoesembé,Sobábo akûab - Diante deles passei Nhoesembé robábo i kûáî
Eu sou agradável,Xe matueté
futuro marido,menama
Minha morte não há de ser ainda,Nd'e'i ipó xe re'õnama ranhẽ re'a
Eu tenho cachaço grande,Xe aîurupygûasu
Não pode a boca de ninguém contar as coisas muito dolorosas no inferno,Nd'e'ikatuî abá îuru Anhanga ratápe tekó-asyeté mombegûabo
Honra teu pai e tua mãe,Eîmoeté nde ruba nde sy abé
Deixa que venha primeiro,T'oú turi - Deixa-o que venha T'oú turi ranhẽ
Mas acreditais realmente em Deus?,Perobîar-y-tepe aé Tupã?
"Que lancemos fora nossa maldade, não acreditando nos pajés, em danças e rodopios","T'oroîtyk oré poxy, paîé rerobîare'yma, moraseîa, mbyryryma"
Quase o matei,Aîukasûer
"de dois em dois, dois a dois",mokõ-mokõî
"Ah, quem me dera comer veneno para que eu morresse","-A'u temõ mba'eaíba mã, a'emo nhẽ xe re'õû"
Eis que ele é o adversário costumeiro das almas dos homens,Eboûĩ abá 'anga rupîatyba a'e
A morte é o que separa os verdadeiros cônjuges,Te'õ a'e mendasabeté mombo'isaramo
Aceitaste suas palavras ao dar ordens a ti para alguma coisa boa?,Ereîmorype i nhe'enga mba'e-katu resé nde pûaîme?
"Consola-se muito o homem, de fato, com as coisas que estão contidas neste mundo",Onhemoapysy-katu rakó abá mba'e ikó 'ara pora resé
"por isso, portanto",emonã resé
Picar-me-ia o marigui,Xe su'umo marigûi
Para nos honrarem os índios fazem festa,Îandé moetébo apŷaba nhemosaraî
Bem feito! Ambos queimareis em conjunto,Iîamuru! Mokõîbé pekaî oîepegûasune
Tiveste relações sexuais com uma mulher casada?,Ereîkópe kunhã-mendara resé?
"Não era Pedro, mas, sim, seu irmão","Na Pero ruã, tybyra a'e"
Tua casa santa edificamos,Nde rokangaturamûama oroîmoĩ
Do amor a Deus encheu suas almas,Tupã raûsuba resé i 'anga porakari
Deus parece obter o descanso,Mutu'u resé Tupã îekosu-berame'ĩ
Troquei-lhe uma criação,Asekobîarõ seîmbaba i xupé
"o que é totalmente conhecido, coisa notória por fama",i kugûabypypabẽ
Curou Nosso Senhor aquela sua orelha arrancada?,Oîposanongype Îandé Îara a'e i nambimondokypyra?
Reza a gente muito frequentemente para Santa Maria?,Oîmongetá-py'i-py'ipe asé Santa Maria?
"São João criancinha, estando no ventre, ao perceber tua vinda, ficou saltando","São João pitangĩ, tygépe o endápe, nde rura andupápe, o por-oporĩ"
faze como te parece,ne'ĩ n'endé aé
"Mostram-se a urdir mentiras, ficando a provar poções","E'i mo'ema monhanga, mosanga ra'ã-ra'anga"
Anunciando nossa futura felicidade,Asé rekokaturama mombegûabo
Desemporcalhei-o,Aseîkûaru'umbok
E o escravo não obedecerá às palavras de seu senhor?,A'epe miaûsuba n'osapîari xûé o îara nhe'engane?
outra coisa,mba'e-aé
"Confessa-se alguém antes de ir à guerra, antes de embarcar num navio?","Onhemombe'upe abá gûarinĩnamo o só îanondé, ygarusupe o 'ar-y îanondé?"
tear de redes,inĩ-ytá
Oxalá Deus mandasse os cadáveres de toda parte falarem,Omonhe'eng-uká temõ Tupã te'õmbûera kóbo
Eu tenho criações,Xe reîmbab
A água benta seja o meio de viver de minha alma,Y i mongaraibypyra t'oîkó xe 'anga rekobesabamo
Que o deixem estar,Te'inhẽne oîkóbo ká
"algum tanto, um pouquinho",angaîbĩ'ĩ nhote
Jesus fez-te subir,Îesu nde rupiri
Que nós sejamos corajosos,T'oré pyatã
Detestando-os mais que tudo o que se deve detestar neste mundo,Seroŷrõmo opakatu ikó 'ara pupé seroŷrõmbyra sosé
Por seus rastros é que vamos,Sakypûera rupi é îasó
"Assa-me o Lourenço tostado, embora eu seja um rei","Xe resy Lorẽ-ka'ẽ, xe morubixaba biã"
Que fazes?,Marãpe ereîkó?
Vou como teu substituto,Asó nde rekobîaramo
"Eu tenho fôlego apressado, eu tenho muito fôlego",Xe pytubapûan
Eu sou muito manhoso em palavras,Xe nhe'ẽpokarugûá-katu
óleo de peixe,pirá-nhandy
"Não dou ouvidos, não me importo",Na xe apysáî
"Imaginai, ó meus filhinhos, imaginai que estais deitados em vossa morte","Peîmo'ang ra'u xe ra'yrĩ gûé, peîmo'ang pe re'õ pupé pe ruba"
Por longo espaço de tempo ele se deteve,Ymûanĩ ahẽ rekóû
Sob tuas mãos estamos,Nde pó gûyrype oroîkó
O que se iguala às mulheres,Kunhã resé oîemoîoîaba'e
"Isso Nosso Senhor impede, repelindo-o das pessoas","Anga Îandé Îara oîmoabaíb, morosuí i mondóbo"
"Tomaste veneno, querendo abortar teu filho?",Eremosangu'upe nde membyra akyrara potá?
Morreram todos,Omanõ-mbá
convidando os homens todos,apŷaba sogûabo pá
Também não se mostra digno aquele excomungado mesquinho de ouvir a missa,Nd'e'ikatu béî aîpó i pe'apyra'uba missa renduba resé
Eu tenho olhos enevoados,Xe resá-oby
Assei,Amixyr
daqui a pouquinho,koromõ-apyri'ĩ
"dois e dois no total (isto é, quatro)",mokõ-mokõî syk
Ando perdido,Xe ropá-ropar
"Se o que Deus fez neste mundo é muito belo, quanto mais lá, o céu primeiro","Ikó 'ara pupé abiã Tupã remimonhangûera i porãngatu, memetipó ebapó ybakypy"
"Aimbirê, vem diante de mim!","Aîmbiré, eîori xe robaké!"
Vem para nos guiar,Eîori oré pokoka
Sou seu parceiro de dança,I nhandaramo aîkó
muito maior,turusu-katu-eté
Não trouxeste foices?,N'ererupe îyapara?
Oxalá ele não tivesse coisas boas!,N'i mba'e-katuî xûé-temo ahẽ mã!
Transgride também alguém a palavra de Deus não mandando comungar a seu filho que é comungante antigo?,Oîaby bépe abá Tupã nhe'enga o a'yra tupãrasarymana supé tupãrarukare'yma?
"Eis aqui meus chifrões, meus dentes Sim, eis aqui também minhas garras","Kó xe 'akusu, xe ranha Îé, kó bé xe pûapẽ"
Deve ser substituída a esposa verdadeira?,Sekobîarõmbyrape temirekó-eté?
Para fazer-te festa minha família fez-me vir,Ndebo toryba monhanga xe anama xe mbouri
Mataram erradamente a fulano em lugar do assassino,Ahẽ morapitîarûera tatenhẽ anhẽ ybŷá oîuká
"Tua alma entregando para o diabo, ele se compraz muito","Nde 'anga me'enga anhanga pé, oangabó-katu"
"Ah, que atrevido!",Tekatueté mã!
Estiraram-no sobre a cruz,Oîpysó ybyraîoasaba 'arybo
"coisa manifesta, pública, coisa notória por ser vista",ikatupendûara
Eis que aí pertinho vem,Ebokûeté'ĩ turi
ajuntamento de taquaruçu,takûarusu-tyba
"margem de rio, beira do mar",y-embe'yba
Por que não queres chorar nem mesmo um pouquinho?,Marãpe nd'ereîase'o-mirĩngatutenhẽ-motari?
Meto-o pelo pescoço,Aîmondeb o aîurybo
Não o mates tu sozinho,Nde nhõ umẽ eîuká
"Após acabar o mundo, fará voltar a viver (nossos cadáveres), levando-os para junto de si para sempre",Ara pab'iré i moingobeîebyri o pyri serasóbo aûîeramanhẽne
Escolheu-a para sua futura mãe,I pysyrõû o syrama resé
"Olha, arrasamos todos os tupinambás que estavam no Paraguaçu","Ma'ẽne, tupinambá Paragûasupendarûera opakatu îamombá"
"Que aqui está deitado, aquietando-se?",Mba'epe ké tuî opyka?
"Curou-o, somente tocando sua orelha, imediatamente fazendo-a sarar, colando-a","Oîposanong i nambi atõîa nhote, aûnhenhẽ i monga'ẽmo, i moîepotá"
Que chegue logo ao lugar de o matarem,T'osyk esapy'a o îukaagûãme
Suas palavras ásperas não cessam,I nhe'engasy n'opabi
"Tua casa santa edificamos, amando-te, tua imagem fazendo estar conosco","Nde rokangaturamûama oroîmoĩ, nde raûsupa, nde ra'angaba rerokupa"
"Em tuas mãos sentando-se, vai o menino, consolando-te","Nde pópe ogûapyka, osó kunumĩ nde moapysyka"
"Ficai, palermões!","Pepytá, manemusu!"
Qual é a causa de nos amar Santa Maria?,Mba'epe Santa Maria asé raûsupaba?
"É bonita esta igreja, tendo muitos adornos!","I porang kó tupãoka, îegûakabetá rerupa!"
Aproxima-se o nascimento de S João,Okakar S João 'aragûera
Ainda que eu já tivesse ido,Aûîebé-temo xe só-umani
Eu tenho a extremidade pontuda,Xe rapûá-obyr
o patrimônio dado a mim por meu pai,xe ruba xe mba'eme'engaba
"Oh, então assim é, na verdade!","Tó, inã îepé ra'e!"
"Curou-o, somente tocando sua orelha, imediatamente fazendo-a sarar, grudando-a","Oîposanong, i nambi atõîa nhote, aûnhenhẽ i monga'ẽmo, i moîepotá"
Outro dia o contarei mesmo,T'aîmombe'u é îrã
Quero ir para tua terra,Asó-potá nde retãme
Ralando-o,Seébo
castrado,sapi'a'okypyra
o que é felpudo,sabiîuakytãba'e
"ao longo do caminho, todo o caminho",pé pukuî
Não estou acostumado,N'abîari
Entremeei-as,Aîmoîoparab
Eu sou rechonchudo,Xe asang
"Alcovitice, prostituição - não quero que ninguém as deixe","Manhana, sygûaraîy - n'aîpotari abá seîara"
Meu coração ficando a revirar,Xe py'a pobu-pobu
O que tem jeito para ele sou eu,Iî arõana ixé
Não dormi absolutamente para procurá-los,N'aker-angáî sekasápe
Aticei-o,Asapynhang
Eu sou gago,Xe nhe'ẽrueru
"Dei-o por dar (isto é, de graça)",Aîme'engĩ
Tornando notórios os vícios das pessoas,Abá rekopoxy mosãîa
sofrendo a fome e a sede,"ambyasy, 'useîa porarábo"
"Como um cão, atacou-me",Îagûara rame'ĩ xe repenhani
Pondo-me segundo a vontade de Deus,Tupã remimotara rupi xe moingóbo
Livra-me tu!,Xe pysyrõ îepé!
Eu estou muito leve nas minhas coisas,Xe rekó-apepu-pepu
Que se compadeçam dele os judeus,T'oîporeaûsuberekó îudeus
"Ora, já agora leve-o",Ne'ĩ serasóbo ko'yté
Vêm em vão para me afastar,Oú tenhẽ xe pe'abo
Lembrando-se dele assim que acorda,Opaka bé sesé o ma'enduaramo
salvador da gente,moropysyrõana
"Em vão crêem em ti (lit, acham-se, em vão, crendo em ti)",E'i tenhẽ nde rerobîá
"Sentou-se em público, aquecendo-se perto do fogo","Te'yîpe nhẽ i gûapyki, tatá ypype oîepegûabo"
Graças a Deus meu pai veio!,Our-eté'ĩ xe ruba mã!
"Olhe bem que, por isso mesmo, o maldito ataca o homem, tornando-se apresador dele","Nd'e'i te'e moxy keteté abá ropenhana, sesé oîemoembiaryîá"
Estou bem (deitado) Aûîé aîkó - Estou bem,Aûîé aîub
Que ele se compadeça de mim,Ta xe raûsubar
Ofendeste teu pai?,Ereînhe'engybõpe nde ruba?
Eu tusso,Xe u'u
"Ainda que os libertes, retirá-los-ei de tua mão","Ereîpysyrõ îepéne, nde pó suí anosẽne"
"Detesta-te, emenda-te","Eîeroŷrõ, enhemomotiasó"
Distribuo-os,Aîma'e'ĩ
o que será morto,miîukarama
Não são sem consequências os teus pecados,Na sa'ubi nde rekopoxy
Piorou muito a dor de minha cabeça,Oîerekoaíbeté xe akanga rasy xe suí
Como o trataram ao dizer ele isso?,Marãpe ybŷá serekóû aîpó i 'ereme?
"Seu sangue era muito, na terra escorrendo, dentro do horto","Sugûy turusu, ybype osyryka, mityma pupé"
maldade (lit - qualidade da alma ruim),angaipaba
"O dia de São Sebastião, em que ele morreu, os cristãos comemoram para se santificarem","S Sebastião 'ara, se'õagûera, cristãos oîmoeté oîemotupana"
Eu estou menstruada,Xe rugûy
Deixei ontem minha casa para ouvir a missa dentro desta (igreja),Aseîá kûesé xe roka kó pupé missa rendupa
"Eis que sofrem muito os que Deus repeliu, tendo sua vida envergonhada","Sasyeté niã Tupã remipe'apûera, ogûekó-mara'ara reroína"
"Finalmente abre-se a terra engolindo-os, finalmente com o diabo vão os que pecam","Teîpó yby oîe'apa, i mokona, teîpó Anhanga irũnamo i angaîpaba'e osóbo"
"Isso é assim, certamente",Emonã ûĩ re'a
Ficando a experimentar poções,Mosanga ra'ã-ra'anga
Antes sua ida para junto dele no céu que sua ida para o inferno,Ybakype i pyri o só îanondé Anhanga ratápe o só suí
O próprio céu é o que Deus prepara para nós,Ybaka aé Tupã îandé resé i nhemosako'îaba
"Sua mãe, cobrindo-o bem, defende-o do frio","I xy i aso'ikatûabo, oîopîá ro'y suí"
Estabeleci uma plantação de milho,Atupá-rung abati
Que a gente evoca diante dele como sua esperança?,"Mba'epe asé osenõî i xupé, o îerobîasabamo?"
